kind,method,strip_width,rate,n,valid_frac,jump_ge3_frac,step_p999_px,speed_p999_px_s,speed_p999_arcmin_s,max_ncc_p10,max_ncc_med,ess_frac_med,resampled_frac,multi_hyp_frac,hyp_count_med,hyp_margin_p10,hyp_margin_med,rms_vs_immediate_arcmin,loglog_speed_rate_slope,label,grid_hz,rms_all_arcmin,rms_hf25_arcmin,rms_slow50_arcmin,corr_slow50
rate_point,raw,16,930.1537070524413,,,0.057004830917874394,,52824.82425406981,,,,,,,,,,,,,,,,,
rate_point,raw,32,465.07685352622065,,,0.05536992840095466,,26537.285262208028,,,,,,,,,,,,,,,,,
rate_point,raw,64,223.23688969258592,,,0.09029779058597502,,13376.354430379764,,,,,,,,,,,,,,,,,
rate_slope,raw,,,8,,,,,,,,,,,,,,,1.0629167468556233,,,,,,
rate_point,pf,1,15031.283905967452,,,0.003469101123595506,,103589.79552776898,,,,,,,,,,,,,,,,,
rate_point,pf,2,7515.641952983726,,,0.005586273727412643,,98218.36818815682,,,,,,,,,,,,,,,,,
rate_point,pf,4,3757.820976491863,,,0.006202538983247348,,87937.98852685586,,,,,,,,,,,,,,,,,
rate_point,pf,8,1878.9104882459314,,,0.008615602502065384,,54772.40944321656,,,,,,,,,,,,,,,,,
rate_point,pf,15,985.9629294755878,,,0.011177007299270073,,34068.63730371964,,,,,,,,,,,,,,,,,
rate_point,pf,16,930.1537070524413,,,0.011835748792270532,,30737.45860059486,,,,,,,,,,,,,,,,,
rate_point,pf,32,465.07685352622065,,,0.02243436754176611,,14281.810861092637,,,,,,,,,,,,,,,,,
rate_point,pf,64,223.23688969258592,,,0.037463976945244955,,10707.416685974998,,,,,,,,,,,,,,,,,
rate_slope,pf,,,8,,,,,,,,,,,,,,,0.5917830415982849,,,,,,
pair,,,,4925,,,,,,,,,,,,,,,,raw:S1_vs_S15,985.9629294755878,2.749375922050484,2.3745460216397345,1.2164662105001025,0.9987365619430782
pair,,,,4646,,,,,,,,,,,,,,,,raw:S1_vs_S16,930.1537070524413,3.0075978342011385,2.5010485977248083,1.4628206947144882,0.9977384317741099
pair,,,,4997,,,,,,,,,,,,,,,,raw:S1_vs_S2,1000.0,2.032552392998105,1.5233979221674072,1.3134507353027807,0.9995519547253017
pair,,,,4925,,,,,,,,,,,,,,,,pf:S1_vs_S15,985.9629294755878,4.166812108228879,2.2921193893784038,2.3046783601904335,0.9928000331144157
pair,,,,4646,,,,,,,,,,,,,,,,pf:S1_vs_S16,930.1537070524413,4.215718421713143,2.31294707527722,2.4506330616364878,0.9911736561382863
pair,,,,4997,,,,,,,,,,,,,,,,pf:S1_vs_S2,1000.0,4.2202938829421655,2.299291501393991,2.6097298062430028,0.9931431533724275
pair,,,,977,,,,,,,,,,,,,,,,pf_split:evenodd:S15:d2,492.9814647377939,2.573135201552459,1.0933341981067026,2.155798231186788,0.9942793095628653
pair,,,,926,,,,,,,,,,,,,,,,pf_split:frameblock:S15:d2,492.9814647377939,6.5393553169168035,1.5236809574077428,6.170606383197942,0.9296982738645928
pair,,,,1987,,,,,,,,,,,,,,,,pf_split:evenodd:S1:d2,1000.0,2.4436571745969684,2.1129339184138467,0.8840374862605095,0.9994379054899095
pair,,,,1881,,,,,,,,,,,,,,,,pf_split:frameblock:S1:d2,1000.0,7.041828737391757,2.1430805351562636,6.203944996962093,0.9225213457012706
