window_id,source,window_score,start_s,end_s,trace,cache,local_prec,local_j30,raw_jump_ge3_frac,raw_step_p999_px,max_ncc,resolved_minus_immediate_rms_px,resolved_minus_immediate_p95_px,hyp_count,qv,con,p_saccade,along_sigma_eff
3,j30,0.7967568411715433,62.63404542770419,64.60109021340573,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,3.113952847050879,1.815695377239134,0.08841716310987105,64.58884513274933,0.3449191411659685,4.951373944697149,7.217694802056804,1.3873440219202429,0.4763340353965759,20.292037963867188,0.0,2.0
4,j30,0.7613577047663469,0.08868919082157571,2.0557339765231077,baseline,m4_dpf_physics.npz,3.4219925048229296,0.6690461039358553,0.15370003637392393,80.79674698959363,0.34856378084893175,,,,,,,
4,j30,0.7613577047663469,0.08868919082157571,2.0557339765231077,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.627831927771719,1.4304038087022022,0.10228219223721473,57.626481535161005,0.33597833041969627,5.420587991502743,8.767532105427422,1.4572847951787604,0.4629654437303543,18.633273124694824,0.0,2.0
4,j30,0.7613577047663469,0.08868919082157571,2.0557339765231077,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,3.5375258949191566,0.9961375857188557,0.1648342495418957,71.73522893430453,0.33597833041969627,0.0,0.0,1.4572847951787604,0.4629654437303543,18.633273124694824,0.0,2.0
4,j30,0.7613577047663469,0.08868919082157571,2.0557339765231077,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,3.4551762641270733,1.6925979912947895,0.10649480665748967,70.42810518743364,0.3385698643174177,6.229634820256037,8.984589113927582,1.4569717219460516,0.46307550370693207,18.637666702270508,0.0,2.0
4,j30,0.7613577047663469,0.08868919082157571,2.0557339765231077,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,3.624126367950403,1.3790215784484658,0.10378144261202732,58.02841485600851,0.33597833041969627,5.379340949261657,8.68817034394842,1.4572847951787604,0.4629654437303543,18.633273124694824,0.0,2.0
5,j30,0.6886644847118717,51.198513876930875,53.165558662632414,baseline,m4_dpf_physics.npz,2.6034434827263055,0.8755523277419712,0.13449005136173334,73.626522711803,0.3368580380186023,,,,,,,
5,j30,0.6886644847118717,51.198513876930875,53.165558662632414,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,2.910726347004434,1.3335328284989743,0.09584438549955791,65.0402700361036,0.32346119281562746,5.1250336206619025,8.08110788204027,1.4364542696142175,0.4451061934232712,19.21547794342041,0.0,2.0
5,j30,0.6886644847118717,51.198513876930875,53.165558662632414,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,2.7425711085282543,0.8746525674980461,0.15804597701149425,73.24660562933343,0.32346119281562746,0.0,0.0,1.4364542696142175,0.4451061934232712,19.21547794342041,0.0,2.0
5,j30,0.6886644847118717,51.198513876930875,53.165558662632414,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,2.467826664642609,0.8215338309512177,0.09716760196191065,66.46199403270599,0.3226884337375113,5.39975884808976,8.016442157009605,1.4409916352446583,0.44494831562042236,19.219619750976562,0.0,2.0
5,j30,0.6886644847118717,51.198513876930875,53.165558662632414,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,2.9367995071293187,1.3360175789291162,0.09712643678160919,65.4854042826686,0.32346119281562746,5.195099996686216,8.109316148045183,1.4364542696142175,0.4451061934232712,19.21547794342041,0.0,2.0
6,j30,0.6653102395665726,0.32206738573531685,2.289112171436849,baseline,m4_dpf_physics.npz,5.057794295650161,0.8429086276284679,0.1575567676298789,80.95187072461313,0.34387478430408186,,,,,,,
6,j30,0.6653102395665726,0.32206738573531685,2.289112171436849,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,5.142754366263591,1.4304038087022022,0.10461120434747863,58.773589406687854,0.3301491997622874,5.442688849989555,8.855071968454475,1.4613825890421634,0.4594666063785553,18.415546417236328,0.0,2.0
6,j30,0.6653102395665726,0.32206738573531685,2.289112171436849,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,5.036546240299581,0.9961375857188557,0.1689842563733717,71.39426994379565,0.3301491997622874,0.0,0.0,1.4613825890421634,0.4594666063785553,18.415546417236328,0.0,2.0
6,j30,0.6653102395665726,0.32206738573531685,2.289112171436849,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,4.9915447889377065,1.8403313122069704,0.10902841613045042,69.0003700604834,0.3327283933194707,6.313629834979954,9.285325093980914,1.4654715510522214,0.4595458060503006,18.415468215942383,0.0,2.0
6,j30,0.6653102395665726,0.32206738573531685,2.289112171436849,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,5.1382302509312145,1.3790215784484658,0.10588987453048829,58.773589406687854,0.3301491997622874,5.415573006000088,8.830509708079783,1.4613825890421634,0.4594666063785553,18.415546417236328,0.0,2.0
7,j30,0.5564152719124706,61.467154453135485,63.43419923883702,baseline,m4_dpf_physics.npz,2.069499637854181,0.7149126205157543,0.1306301487108163,75.18785568454932,0.33748401889184476,,,,,,,
7,j30,0.5564152719124706,61.467154453135485,63.43419923883702,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,2.4044559691156993,1.2935765388615863,0.09559495521842441,62.35934101543202,0.3231944655338282,5.2442975792718824,7.856253857510168,1.4365438483085542,0.43858569860458374,19.12167739868164,0.0,2.0
7,j30,0.5564152719124706,61.467154453135485,63.43419923883702,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,2.2164616841706715,1.268232312090106,0.15463352220800586,65.52531795516998,0.3231944655338282,0.0,0.0,1.4365438483085542,0.43858569860458374,19.12167739868164,0.0,2.0
7,j30,0.5564152719124706,61.467154453135485,63.43419923883702,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,2.5850862886672767,1.066343070056341,0.09475614228089475,57.73728635780999,0.32426218534224455,5.25175327512407,7.839022521912494,1.429342545611573,0.43877288699150085,19.111421585083008,0.0,2.0
7,j30,0.5564152719124706,61.467154453135485,63.43419923883702,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,2.3978161956281694,1.2688338833642945,0.09738621824163772,62.71421133338573,0.3231944655338282,5.322607221792633,7.874652140817659,1.4365438483085542,0.43858569860458374,19.12167739868164,0.0,2.0
8,j30,0.5537004580488922,50.031622902362166,51.998667688063705,baseline,m4_dpf_physics.npz,2.2710745937151144,1.593110833753343,0.1201196211995348,87.64423010434787,0.37137020332877135,,,,,,,
8,j30,0.5537004580488922,50.031622902362166,51.998667688063705,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,2.869780256723332,2.081172873621764,0.08001022494887526,65.52809676950571,0.3655613822783559,5.310377102669342,6.959724591655338,1.357231972053564,0.49628208577632904,20.39883804321289,0.0,2.0
8,j30,0.5537004580488922,50.031622902362166,51.998667688063705,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,2.6921729319574133,1.9244749695418406,0.12985685071574643,82.98116683564932,0.3655613822783559,0.0,0.0,1.357231972053564,0.49628208577632904,20.39883804321289,0.0,2.0
8,j30,0.5537004580488922,50.031622902362166,51.998667688063705,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,2.477746840382204,1.4629246557799007,0.0819609345078514,70.68370442967316,0.3644021692070739,4.919415397109251,6.763396242828314,1.3587304225001038,0.4958726763725281,20.39112663269043,0.0,2.0
8,j30,0.5537004580488922,50.031622902362166,51.998667688063705,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,2.886753442435486,2.0003376825842203,0.08111792774369461,65.674587266091,0.3655613822783559,5.288041407907378,7.01429409250224,1.357231972053564,0.49628208577632904,20.39883804321289,0.0,2.0
