kind,method,strip_width,rate,n,valid_frac,jump_ge3_frac,step_p999_px,speed_p999_px_s,speed_p999_arcmin_s,max_ncc_p10,max_ncc_med,ess_frac_med,resampled_frac,multi_hyp_frac,hyp_count_med,hyp_margin_p10,hyp_margin_med,rms_vs_immediate_arcmin,loglog_speed_rate_slope,label,grid_hz,rms_all_arcmin,rms_hf25_arcmin,rms_slow50_arcmin,corr_slow50
pair,,,,1996,,,,,,,,,,,,,,,,raw_ref:S1_vs_S15,1000.0,7.417767076376094,7.097435100261335,1.1971297823960927,0.9399279910202786
pair,,,,1996,,,,,,,,,,,,,,,,raw_ref:S1_vs_S16,1000.0,7.869282448552892,7.389364310169869,1.4886725107849792,0.9204489836569038
pair,,,,1997,,,,,,,,,,,,,,,,raw_ref:S1_vs_S2,1000.0,3.857157540325169,3.742651222238441,0.44164420285003714,0.9933276865054984
pair,,,,1996,,,,,,,,,,,,,,,,pf:S1_vs_S15,1000.0,18.486598858501917,7.5700897156666755,15.041206761073278,-0.09126116422129789
pair,,,,1996,,,,,,,,,,,,,,,,pf:S1_vs_S16,1000.0,17.471232152184406,8.103985834085453,14.337131989004192,0.38899416002637904
pair,,,,1997,,,,,,,,,,,,,,,,pf:S1_vs_S2,1000.0,16.494445110322655,8.287225199778533,12.690786306141348,0.317986981116271
pair,,,,657,,,,,,,,,,,,,,,,pf_split:evenodd:S15:f30,660.0,14.377692978301052,9.39742677564826,6.083276332892437,0.48414177582767104
pair,,,,616,,,,,,,,,,,,,,,,pf_split:frameblock:S15:f30,660.0,18.522112868236995,5.526517028126827,16.50391658322972,-0.5184150878307886
pair,,,,997,,,,,,,,,,,,,,,,pf_split:evenodd:S1:f30,1000.0,17.990534470088484,7.811104627468699,13.93763904708534,-0.04293479201758946
pair,,,,934,,,,,,,,,,,,,,,,pf_split:frameblock:S1:f30,1000.0,16.55556498614048,6.303549980351151,12.686479657626588,-0.11650492466912067
